transaction_id,client_id,transaction_type,amount,date,status
T001,C001,D,500.0,2025-03-22,Completed
T002,C001,X,200.0,2025-03-23,Pending
T003,C001,W,-100.0,2025-03-24,Failed
T004,C001,W,150.0,2025-03-25,Done
T005,C001,W,300.0,2025-03-26,Completed
T006,C002,D,1000.0,2025-03-22,Completed
T007,C002,W,500.0,2025-03-23,Completed
T008,C002,X,250.0,2025-03-24,Pending
T009,C002,W,-50.0,2025-03-25,Failed
T010,C002,D,700.0,2025-03-26,Completed
T011,C003,D,1200.0,2025-03-22,Completed
T012,C003,W,300.0,2025-03-23,Done
T013,C003,X,400.0,2025-03-24,Pending
T014,C003,W,-200.0,2025-03-25,Failed
T015,C003,D,900.0,2025-03-26,Completed
T016,C004,D,750.0,2025-03-22,Completed
T017,C004,W,200.0,2025-03-23,Completed
T018,C004,X,450.0,2025-03-24,Pending
T019,C004,W,-150.0,2025-03-25,Failed
T020,C004,D,800.0,2025-03-26,Completed
T021,C005,D,1300.0,2025-03-22,Completed
T022,C005,W,600.0,2025-03-23,Completed
T023,C005,X,350.0,2025-03-24,Pending
T024,C005,W,-250.0,2025-03-25,Failed
T025,C005,D,950.0,2025-03-26,Completed
